# level_assignment log_likelihood tiebreaker ID
10 -7.493096488963934121e+01 5.047683067715758032e-01 4
27 -7.060798568203423997e+01 3.178072291242510783e-01 1
26 -7.060798622073119191e+01 1.341913220716358934e-01 3
23 -7.060799792548412768e+01 1.757519671554965135e-01 4
29 -7.060798559406524078e+01 5.137129025688089712e-01 4
28 -7.060798561582726052e+01 7.605828430521262007e-01 3
28 -7.060798560042962890e+01 8.676075474757096728e-01 3
29 -7.060798558114656487e+01 4.260139080035482001e-02 4
29 -7.060798558354034071e+01 3.904357149473358397e-03 0
28 -7.060798562520315613e+01 9.318713643405580616e-01 3
27 -7.060798557709270540e+01 5.017029919941535798e-01 3
26 -7.060798572119057326e+01 6.762293425995736795e-01 3
27 -7.060798565534054205e+01 1.646537781026198022e-01 0
29 -7.060798560011005520e+01 2.390638672053521929e-01 4
27 -7.060798580189040763e+01 5.787767955386995400e-01 1
27 -7.060798579367309458e+01 1.886640115549544916e-01 4
29 -7.060798558555799787e+01 2.925840584074469453e-01 4
29 -7.060798556777254475e+01 6.980480024580557608e-01 4
27 -7.060798560988175154e+01 9.328350578481831024e-01 1
25 -7.060798671717661534e+01 3.068161581609807342e-01 3
24 -7.060798885994879015e+01 2.520029800550378507e-01 3
16 -7.062507878643492631e+01 1.726929735015136913e-01 3
10 -7.086676194283046470e+01 6.891378014998368329e-01 0
9 -8.187422893501133103e+01 5.380547630864387365e-01 1
26 -7.060798558309954842e+01 9.151845746029145801e-01 0
11 -7.194849765423262511e+01 8.057523642794546248e-01 1
0 -1.737287548492166679e+06 2.343719631859005892e-01 4
27 -7.060798566269494358e+01 8.723754013760387505e-02 2
19 -7.060852148613699342e+01 3.530003443763370385e-01 1
13 -7.067934783444384550e+01 9.891641828709779594e-01 3
6 -2.220135659242291695e+02 3.206608567724555936e-01 3
14 -7.070281795784725887e+01 4.265914496279660795e-01 4
4 -1.263400589174551897e+03 5.084576156320963491e-03 3
28 -7.060798555763324202e+01 3.370132113107942584e-01 0
9 -8.637800725829833937e+01 2.376403193282567439e-01 1
3 -8.940676028390087595e+03 6.919920864596623700e-01 1
6 -4.594803959005074603e+02 9.516329137481108758e-01 3
21 -7.060805963480993341e+01 4.215790146469376998e-01 3
6 -2.331751150886863684e+02 9.329175333374541967e-01 4
21 -7.060801355050702455e+01 2.660480000502615794e-01 4
26 -7.060798612715780109e+01 3.396405419428886741e-01 1
21 -7.060801984226031891e+01 2.647584983690600136e-01 0
13 -7.061832368011477001e+01 5.166900805277000464e-01 0
8 -9.282926522730697627e+01 6.560245345564763575e-01 2
9 -8.772711666316698143e+01 4.200065111415496322e-01 0
6 -4.490468557103999956e+02 4.442478956143129376e-01 0
1 -1.567124453259866277e+05 1.036731414506442128e-01 2
9 -8.609360875351396203e+01 2.567184490231888550e-01 3
14 -7.069297713237486391e+01 6.837122656767871121e-01 0
20 -7.060798845599252616e+01 8.998068172660455000e-01 1
20 -7.060808898832929970e+01 1.392429475203474931e-01 1
20 -7.060808755080411458e+01 1.741223081807771467e-01 0
4 -3.528366569822910151e+03 5.415370164696803323e-01 2
28 -7.060798564184253223e+01 9.307101365099810231e-01 4
28 -7.060798558649629797e+01 9.009846043668723325e-03 4
25 -7.060798683049658564e+01 4.294314947145952965e-01 4
1 -4.251893053383960068e+04 7.121887218214221216e-01 0
1 -4.602918541968374484e+04 1.012166600224145840e-01 1
16 -7.061194931170732048e+01 6.487712656711310810e-01 3
4 -2.049188178689526467e+03 9.935613573170023471e-01 3
1 -9.957984672188656987e+04 8.792301591684148487e-01 3
3 -7.674803371057280856e+03 8.354159942285206419e-01 2
10 -7.748247713569200812e+01 6.504864488788281163e-01 1
26 -7.060798626328718797e+01 9.996233996452908999e-01 0
4 -3.252768891724662808e+03 8.206767766771466688e-01 1
26 -7.060798574602745248e+01 2.305119139079465918e-01 3
19 -7.060827145131517568e+01 8.436627795598651280e-01 4
16 -7.060953032467782009e+01 6.184704629434615297e-01 1
21 -7.060803555744040239e+01 3.255435584325923060e-01 3
1 -1.472977129471601220e+05 3.667940091049590734e-01 2
5 -6.304617013157419478e+02 5.186409636405199253e-01 2
4 -6.794908503827489312e+02 2.903914278785322267e-01 4
0 -1.623426359451478929e+05 5.905856293736494456e-01 4
27 -7.060798563052632915e+01 2.232677623763010821e-01 2
23 -7.060799084797781688e+01 8.749349965888836289e-01 2
8 -8.997230029374483706e+01 1.409202805486402532e-01 3
14 -7.062660447309573897e+01 8.530325519212391683e-01 0
7 -1.408379656141216287e+02 6.679417842885984058e-01 4
7 -1.405214098793468338e+02 6.381344724818808212e-01 1
23 -7.060799358477561327e+01 8.813954141888197258e-01 0
6 -4.257311893438616153e+02 2.172356017265322237e-01 3
17 -7.061152402716990650e+01 1.237545926535363675e-02 3
13 -7.070409105094577740e+01 6.685011411558513528e-01 0
9 -7.552136589280974022e+01 1.264237611710449516e-01 2
18 -7.060957884430595755e+01 3.591985653144051938e-01 4
5 -2.185295824950577241e+02 6.354837738796987878e-01 0
4 -3.036594327547255944e+03 6.803171380663312062e-01 0
19 -7.060841382374387365e+01 2.431850241754942576e-01 2
1 -2.319642825661951792e+04 4.228676305271035774e-01 0
5 -1.039331105462550568e+03 3.076591009626447257e-02 0
14 -7.064205875578724658e+01 6.226884116541473446e-01 2
6 -3.313601494106884502e+02 4.802022957141369730e-01 1
3 -2.285284560009137749e+03 3.827188827081862144e-02 0
13 -7.072811634642243916e+01 8.453260778554877453e-01 4
22 -7.060798570984593425e+01 1.694682237982199080e-01 2
9 -8.189144314646682687e+01 3.430232650214026791e-01 0
28 -7.060798555800585063e+01 5.490993747733021735e-01 2
13 -7.096685470831366160e+01 6.125077649637908905e-01 0
8 -9.091076469972453822e+01 4.146261817773204683e-01 3
2 -2.510749150596498293e+04 5.039535852668046711e-01 2
7 -2.062866677553952570e+02 3.846546278339948999e-01 3
18 -7.060972981286612082e+01 1.108257438939228706e-01 2
8 -1.220433039884881055e+02 5.998492848760129670e-01 4
22 -7.060800724557844887e+01 9.749793542684505043e-01 1
9 -8.438256404296092228e+01 5.084401469222311620e-01 2
22 -7.060801728049827375e+01 9.893805558970633074e-01 4
28 -7.060798562411494572e+01 3.226106599359805926e-01 4
11 -7.069255515392116251e+01 8.579753815919682891e-01 1
12 -7.068477759145336847e+01 3.192746712201293136e-01 1
0 -1.136686842931839201e+05 9.013391540488485676e-01 3
0 -6.734557101566710044e+05 5.422990388436232934e-01 4
11 -7.289065328034642732e+01 1.144095905320970524e-01 4
0 -1.707534622733368305e+05 9.195805599452494539e-01 1
12 -7.111899766234556353e+01 7.981908150265372148e-01 4
11 -7.293267162802979442e+01 3.087991698165407431e-02 1
0 -3.467161662931238243e+04 9.113511809687689924e-01 4
18 -7.060984900088030258e+01 5.177504437245250557e-01 4
24 -7.060798854922555279e+01 4.303931844938209128e-01 4
29 -7.060798558247547874e+01 6.846371329444441711e-01 0
19 -7.060828033987664298e+01 9.120787052203989109e-01 4
7 -1.275234006589178790e+02 3.402376462133336332e-01 3
4 -1.826001510973137329e+03 1.651827006794153174e-01 4
13 -7.089445964516565368e+01 1.029362891456873097e-01 1
6 -8.513336517105329904e+01 7.720054997490595206e-01 3
7 -1.689404804946849765e+02 3.084571525760675392e-01 3
0 -8.970275857093862724e+05 4.612427105668927274e-03 3
1 -4.748033102054236952e+04 4.370014908299246770e-02 3
13 -7.063428092243705692e+01 5.184639274637623529e-01 1
28 -7.060798555986460201e+01 9.730289051731895178e-01 2
22 -7.060799746316391179e+01 6.117747297602077472e-01 3
20 -7.060809064345653496e+01 5.757011185304388157e-01 3
13 -7.082533666521243276e+01 4.730319805171366299e-01 2
1 -7.261447770188412687e+04 1.546219549895921919e-01 2
6 -4.057639561471858087e+02 2.727453784145937865e-01 0
22 -7.060800751424028476e+01 9.157029070526451209e-01 1
0 -9.410106196941720555e+04 3.233194800445891026e-01 2
16 -7.061794865150957889e+01 9.366273900748079972e-01 0
24 -7.060798925041302709e+01 5.054581625377235765e-01 3
12 -7.124285549187089828e+01 5.661518696259293382e-01 0
7 -1.578799964671280520e+02 8.739634087353032044e-02 0
27 -7.060798583589996724e+01 5.838193560004723004e-02 4
28 -7.060798559739176028e+01 3.931346826034542996e-01 3
14 -7.063870437534629332e+01 2.316577697304775529e-01 2
14 -7.069189158693774289e+01 7.796434537399182796e-01 1
15 -7.064621211837820169e+01 8.034537999055600954e-01 4
8 -8.050492678078404651e+01 4.637724234131507250e-01 2
3 -9.800578431165095026e+03 7.987489279700310529e-02 1
4 -2.783207942614710191e+03 1.313800541141425526e-01 3
0 -8.148510186971881194e+05 7.723593398037995605e-01 3
24 -7.060798674369772243e+01 1.074379094177118077e-01 0
6 -4.528477887010431004e+02 7.205160032048225638e-01 3
20 -7.060821736901473855e+01 3.382980877366055239e-01 3
26 -7.060798580972020488e+01 5.926536057629483434e-01 2
29 -7.060798558670111902e+01 1.089226764845153544e-01 4
7 -1.028812311658902274e+02 8.442242134083796090e-01 0
4 -3.301040253015106600e+02 6.729745700743583470e-02 3
5 -7.100979390163976177e+02 9.506873921190197585e-01 4
21 -7.060799892894934260e+01 3.388399041190831573e-01 1
24 -7.060798576846281094e+01 4.499328135857847411e-01 2
11 -7.105153917878428160e+01 3.642146335307827609e-01 4
8 -7.496664024244012126e+01 6.482509318938634024e-01 1
25 -7.060798626885635088e+01 8.527855050919010971e-01 4
13 -7.072564723731753134e+01 6.179345055183413926e-01 2
27 -7.060798559786834971e+01 7.135893267552322339e-01 3
21 -7.060799351804969604e+01 3.152268783090042548e-01 3
23 -7.060799793837131233e+01 3.929840321217739074e-01 0
21 -7.060805647263727280e+01 6.405429618184741436e-01 3
19 -7.060845485045881276e+01 8.927117498599308476e-01 4
7 -1.406482372835574495e+02 3.077931595776846052e-01 3
28 -7.060798557362645056e+01 2.239402788182345005e-01 1
3 -6.829104474723245403e+03 4.897477686145338405e-01 2
2 -1.816583240672746615e+04 2.574861724802214868e-01 2
12 -7.139179744879844236e+01 7.667961829883218616e-02 4
0 -2.815176912124170485e+04 2.790065735104350630e-01 3
15 -7.063767200785802913e+01 8.069358156349277778e-01 1
10 -7.613014731210380148e+01 2.073024754438281825e-01 3
10 -7.194682860998688056e+01 9.102066393238323894e-01 3
27 -7.060798574317188070e+01 4.695420306156232737e-01 0
2 -9.472499497146080103e+03 7.570440538174162404e-01 3
5 -6.811003765613874066e+02 4.648490307801989019e-02 0
20 -7.060804911058109212e+01 7.799251155328011942e-01 4
7 -1.940757963467671061e+02 3.672128247414239155e-01 2
23 -7.060799453151571470e+01 2.171475595494882782e-01 4
14 -7.062921197104080306e+01 5.633539485728444873e-01 3
26 -7.060798560265365609e+01 9.704335411072069206e-01 0
22 -7.060801336021063435e+01 3.079152216960130695e-02 0
24 -7.060798592435870091e+01 2.879560055342496039e-01 0
21 -7.060805854642455870e+01 2.969821311566824829e-01 1
9 -8.153691994148186950e+01 6.023001396224847426e-01 0
8 -1.227981854651746403e+02 7.614382386130823521e-01 4
11 -7.062349640246186766e+01 9.717963598714820517e-01 3
10 -7.621571356854235546e+01 9.894428138995233768e-01 1
7 -1.920615944210301222e+02 7.011607522625209477e-01 4
1 -1.253556615035104187e+05 2.710019765119762170e-01 1
20 -7.060800028947517148e+01 7.436059403196972895e-01 3
20 -7.060805324602276301e+01 4.862599829589235867e-01 2
5 -1.231049079361717844e+02 3.958697372016032334e-01 0
6 -2.344105955765888893e+02 3.083749784683485484e-01 4
1 -5.501539953559653804e+04 1.401491985023481934e-01 4
18 -7.060918991897520414e+01 8.320019232815401011e-01 4
11 -7.161218521492099853e+01 4.971308942374925710e-01 2
18 -7.060988336349629435e+01 3.941074194192449864e-01 4
4 -1.049071952409200549e+03 9.490452389862161775e-01 4
11 -7.225667284114408062e+01 8.269949919413920325e-01 2
1 -4.663645809470252061e+03 2.261717033029952972e-02 2
12 -7.095057036440940124e+01 2.598242033076888502e-01 2
21 -7.060804259505599134e+01 7.797680687767026553e-02 0
28 -7.060798567117298319e+01 4.486382528549830440e-01 0
20 -7.060804061719207425e+01 4.579357056304820262e-01 3
15 -7.061425287224948022e+01 7.753993024093412956e-01 1
1 -1.055978632965939760e+05 7.107057785598241972e-01 0
13 -7.092020554774902052e+01 7.636711506483047363e-02 4
10 -7.439079422162998867e+01 2.195548366340154545e-01 2
6 -3.380795035488524718e+02 7.514855799629286404e-01 3
26 -7.060798590957919885e+01 1.845352137694655781e-02 0
27 -7.060798566168762136e+01 7.737830171417723335e-01 0
4 -2.154736757532280535e+03 3.193026957918758679e-01 3
24 -7.060798813983068101e+01 6.686446991823302710e-01 2
11 -7.222134487461832464e+01 6.937391046162993957e-01 0
23 -7.060799094537665610e+01 3.059783145966944451e-01 2
20 -7.060801847126046482e+01 8.256828027721638819e-01 2
0 -1.211420026608641783e+05 1.512247018914951724e-01 0
26 -7.060798564847081593e+01 7.869367458531469905e-01 2
26 -7.060798559831074783e+01 8.607943968789057154e-02 3
20 -7.060801288259855824e+01 9.316297019309409677e-01 4
19 -7.060810081791311177e+01 6.723958846077752183e-01 4
28 -7.060798562630779429e+01 8.801972543106973967e-01 4
1 -2.840837152090462041e+04 2.641213216107748396e-01 0
29 -7.060798558594558472e+01 5.851701653131897718e-01 4
25 -7.060798623278620312e+01 5.177552616845149114e-01 4
11 -7.216274109804524528e+01 9.067399054901430222e-02 2
5 -2.994955430792299467e+02 9.595430251680123757e-01 0
7 -1.560192209072805269e+02 5.634505250810100119e-01 3
9 -7.123325019571959160e+01 9.315760885418633563e-02 3
22 -7.060800536454564735e+01 2.593144374610218961e-01 3
3 -3.378296427699702235e+03 7.461575170915212274e-01 4
28 -7.060798565935985494e+01 4.468590603784861059e-02 3
9 -8.735997116822122166e+01 6.026794867953817469e-01 2
17 -7.061127599372868247e+01 4.229535844845488390e-01 4
29 -7.060798556577360330e+01 1.201199149893792395e-01 4
28 -7.060798559513102646e+01 2.197133686826289456e-01 4
8 -7.600588129834549989e+01 4.783228818773215818e-01 1
25 -7.060798648777532094e+01 6.547152096474834204e-01 4
25 -7.060798576166413909e+01 9.945464277511684159e-01 4
17 -7.060918316666393935e+01 3.546913598355233566e-01 1
3 -7.607251872157909929e+03 9.264245121453118514e-01 0
5 -3.661330656144372142e+02 1.494383608766569616e-02 0
21 -7.060802788573286648e+01 3.592431283618680027e-01 4
17 -7.060816579016641015e+01 7.045803404708533835e-01 4
16 -7.061791317313141292e+01 1.606515518980865601e-02 3
19 -7.060842628054874126e+01 8.489924978951695067e-01 3
4 -2.023365719697133045e+03 1.887456478960225226e-01 3
27 -7.060798582261011802e+01 5.897839964282258762e-01 1
23 -7.060798674506247607e+01 5.488753311049549000e-01 4
28 -7.060798563154207841e+01 4.603077002872658641e-01 1
27 -7.060798584345340601e+01 4.756530777522764986e-01 0
28 -7.060798556652994762e+01 2.205830199489445809e-01 3
29 -7.060798556069212850e+01 5.132049884818121743e-01 3
5 -3.659462690833537408e+02 8.301245980880593844e-01 4
27 -7.060798581084299030e+01 7.625371281892914244e-01 3
12 -7.144979998708225821e+01 9.166486332175344254e-02 0
19 -7.060817841756229996e+01 3.407828997704330232e-01 0
10 -7.710612034917150481e+01 4.993779438817763650e-01 4
15 -7.062025842121866503e+01 6.380089192487862215e-01 4
3 -4.412898051109662447e+03 1.883697180148563022e-01 1
14 -7.062651041189394618e+01 2.897201849012930874e-01 4
11 -7.201902357462121529e+01 2.859760789445910945e-01 1
20 -7.060818643674812733e+01 8.923970623436119354e-01 0
23 -7.060799702106652376e+01 6.215427713656056508e-01 4
21 -7.060803917588863499e+01 4.711362910314692565e-01 4
15 -7.064735415070379076e+01 8.509865747959334259e-01 3
24 -7.060798867877460339e+01 6.648069380188309507e-01 4
25 -7.060798720712060117e+01 2.759969859520746693e-01 4
28 -7.060798564499580721e+01 1.734644380756353854e-01 4
13 -7.077413888080357651e+01 9.895347119879259745e-01 3
20 -7.060814358397496449e+01 1.242169560363835523e-01 2
14 -7.063157702537121452e+01 8.156251945815078397e-01 1
8 -8.201648446680317761e+01 9.188457035015437091e-01 4
3 -9.980988468846417163e+02 3.407278652171430999e-01 3
7 -1.750359662402073866e+02 3.708145347108959822e-01 0
11 -7.143211333471590763e+01 1.535752014205338245e-01 4
21 -7.060805872914950498e+01 6.407893028318947248e-01 3
3 -5.451223142635805743e+03 8.224781085399133218e-01 0
29 -7.060798558263407187e+01 4.818599075609011351e-01 1
29 -7.060798559194813606e+01 9.316951501470458474e-01 0
27 -7.060798582892134334e+01 1.380412625915933833e-01 0
22 -7.060799126964528227e+01 9.140386319246710523e-01 0
19 -7.060825294091100091e+01 7.283567663967618344e-01 3
22 -7.060800657506683820e+01 8.647090857769406114e-01 1
26 -7.060798620495300781e+01 1.629659202576396460e-01 1
12 -7.127132308804479521e+01 2.445100303210576698e-01 0
28 -7.060798557126884134e+01 9.255580986155691470e-01 4
23 -7.060798650966665946e+01 6.196939379492345523e-01 1
25 -7.060798743531564980e+01 3.696883531557406677e-01 3
0 -1.918624630395133514e+06 2.996175842797406119e-01 3
0 -2.920967063694901299e+06 9.101098194091330473e-01 0
17 -7.061148670425737350e+01 5.486372551038947165e-01 1
2 -2.530205135220019656e+04 2.245320185772911037e-01 3
17 -7.061265125941017118e+01 9.555793566865995459e-01 3
11 -7.309090880312203353e+01 8.824666159389646936e-01 4
14 -7.065810025324186938e+01 4.299844628644265976e-01 0
7 -1.788787943693313878e+02 3.230128972590087799e-01 0
12 -7.088469775503691039e+01 4.711958356929936143e-01 3
14 -7.071503298185845665e+01 1.162533895300440351e-01 2
17 -7.061340824541014172e+01 9.758450325844173490e-01 3
14 -7.073765902745525125e+01 9.004446506185814769e-01 1
16 -7.061816044024502048e+01 6.208774956773188691e-01 3
24 -7.060798984661700217e+01 8.968512056538275878e-01 4
20 -7.060809113039314866e+01 3.335318091882740199e-01 3
21 -7.060802267592723069e+01 1.363203743320219319e-01 0
5 -4.896831664864266713e+02 5.783497765702181326e-01 2
1 -1.772208174019590660e+04 7.187328638066768915e-01 4
1 -8.219093037245392043e+04 7.935264169306412985e-01 4
20 -7.060811577365612379e+01 1.194950434835231369e-02 0
9 -7.786821391598004993e+01 3.107039417332124742e-02 0
17 -7.061164446046959142e+01 5.432044607367046002e-02 3
0 -1.373632108659924008e+06 6.344101786943943111e-01 3
10 -7.185363565029155097e+01 4.496065825279271788e-01 4
26 -7.060798571424226111e+01 6.654313692987284812e-01 4
0 -8.910157899470645134e+03 1.894196496907349647e-01 1
7 -8.155294150203603465e+01 9.531942389841487895e-01 1
23 -7.060799589450314784e+01 6.542116803957462867e-01 3
23 -7.060799265916256218e+01 6.189879356926939469e-01 3
5 -7.390170953563796274e+02 9.367230924511722456e-01 3
18 -7.060976852715461405e+01 7.036101365484863646e-01 4
10 -7.072275499740914029e+01 3.883392528460145599e-01 4
11 -7.253474379532161720e+01 3.688733374354168371e-01 0
21 -7.060805270765494868e+01 9.398000894552727136e-01 0
17 -7.061236178126706875e+01 4.576205977247869150e-01 1
19 -7.060811701952221142e+01 5.895234270503300067e-01 0
15 -7.061742072374889290e+01 4.205055383819339410e-01 4
14 -7.061879201071474199e+01 3.097435147353277962e-02 4
29 -7.060798558214450793e+01 6.292337155616871680e-01 2
1 -1.133652525730788620e+05 7.246818430970192182e-01 4
12 -7.074083880568942106e+01 7.438277141516268509e-01 1
13 -7.084092456021863882e+01 3.726734577360675260e-01 1
28 -7.060798556409361026e+01 2.127595718679764838e-02 0
18 -7.060961405150190728e+01 1.446795568832359713e-01 4
27 -7.060798575538603927e+01 2.439927836443790965e-01 2
0 -1.347049360625831177e+05 6.301775664027240431e-01 4
27 -7.060798585282967110e+01 3.796633420753412480e-01 2
14 -7.064910928379066490e+01 7.019535389514082180e-01 1
9 -7.566214356747417469e+01 8.907248780447041270e-01 2
2 -3.277285756430371111e+04 2.132807165650500991e-01 1
21 -7.060803151854702264e+01 5.704881456106686288e-01 4
7 -1.736123726103213585e+02 7.400576787273127621e-02 2
22 -7.060799117865259689e+01 9.264368951114070327e-01 4
5 -4.620342379039517482e+02 6.960987369137223713e-01 0
8 -8.108988915846676093e+01 1.828224477980845974e-01 0
13 -7.082409811897724694e+01 4.013492948070858379e-02 4
23 -7.060799790401468101e+01 5.166556169277976007e-01 2
11 -7.104675630639286510e+01 7.262945499300621499e-01 0
29 -7.060798559059981017e+01 1.804877010160046424e-01 1
10 -7.150545890902144208e+01 8.738126079962994508e-01 0
1 -1.186640760667197319e+05 6.032409934217835001e-01 2
8 -8.531783860031259792e+01 4.751791313321700461e-01 2
23 -7.060799076041550393e+01 5.495458110000084329e-01 1
7 -1.078853258626306371e+02 8.947826467975108500e-01 3
0 -2.139872283103529844e+04 2.347345547380228215e-01 3
25 -7.060798692658912046e+01 3.813963993636448890e-02 4
22 -7.060799381089286442e+01 4.271238894577025214e-01 1
11 -7.198815225399836493e+01 3.432124471750169215e-01 0
21 -7.060800855270608167e+01 3.506133280029000709e-01 0
6 -2.017540430828532294e+02 6.382221850653404527e-01 0
12 -7.077807026850135230e+01 7.062787454042303015e-01 2
5 -2.146344155391570325e+02 3.263069239691913093e-01 2
29 -7.060798557957311061e+01 2.378975520341562455e-01 4
25 -7.060798557704967493e+01 4.106886496032071676e-01 0
18 -7.060834814487220967e+01 6.660786491369030671e-01 0
18 -7.060854490259139027e+01 8.287964128400766572e-01 2
27 -7.060798565877450983e+01 7.298409398756295907e-01 1
29 -7.060798559646897843e+01 8.929030226657622693e-01 1
21 -7.060805956277104656e+01 7.570851807096055097e-01 3
17 -7.061119445401718053e+01 7.842863807337114856e-01 4
4 -8.013464495385840110e+02 2.600042547026963913e-01 4
11 -7.151288296657311605e+01 2.208511883489483463e-01 1
4 -1.291417096119417351e+02 5.103450611798273640e-01 1
2 -7.353375323247499182e+03 7.060773055998383896e-01 3
26 -7.060798629843171170e+01 6.396575621397276867e-01 0
23 -7.060798843376963418e+01 3.101066123714645295e-01 4
1 -1.922592471421883674e+05 8.313002483347213811e-01 1
4 -2.723252286610588726e+03 6.016365558049742435e-02 0
5 -1.114057574256713906e+03 7.565081638007927767e-01 1
6 -3.193622031454574426e+02 5.315486039769590221e-01 1
12 -7.131124436501923469e+01 9.756543001213986432e-01 2
16 -7.061704369521969227e+01 6.594379262116252249e-01 1
